game_name,rank,meta_score,user_score,critic_url,4Players.de,Adventure Gamers,Android Central,App Trigger,Areajugones,Atomix,Attack of the Fanboy,AusGamers,BaziCenter,Buried Treasure,But Why Tho?,CD-Action,CGMagazine,COGconnected,Carole Quintaine,Checkpoint Gaming,Comicbook.com,Critical Hit,Cubed3,Cultured Vultures,DarkStation,DarkZero,Destructoid,Dexerto,Digital Chumps,Digital Spy,Digital Trends,Digitally Downloaded,DualShockers,EGM,Easy Allies,Edge Magazine,Eurogamer Italy,Everyeye.it,Finger Guns,Forbes,GAMES.CH,GAMINGbible,GMW3,GRYOnline.pl,Game Debate,Game Informer,Game Over Online,Game Rant,Game Revolution,Game World Navigator Magazine,GameByte,GameCrate,GameCritics,GameGrin,GameMAG,GameOver.gr,GameSkinny,GameSpace,GameSpew,GameSpot,GameStar,GameWatcher,Gameblog.fr,Gamepressure,Gamer Escape,Gamer.nl,Gamer.no,Gamers Heroes,Gamers' Temple,Gamersky,Games.cz,GamesBeat,GamesHub,GamesRadar+,Gaming Age,Gaming Nexus,GamingBolt,GamingTrend,Gfinity,God is a Geek,Guardian,Hardcore Gamer,Het Nieuwsblad,Hey Poor Player,Hobby Consolas,Hooked Gamers,IGN,IGN Adria,IGN France,IGN Italia,IGN Japan,IGN Portugal,IGN Spain,Impulsegamer,Inverse,JeuxActu,Jeuxvideo.com,KeenGamer,LEVEL (Czech Republic),Launcher (The Washington Post),LevelUp,M3,MGG Spain,MMORPG.com,Malditos Nerds,Meristation,Merlin'in Kazanı (Turkey),Metro GameCentral,Millenium,Multiplayer.it,NME,New Game Network,Noisy Pixel,PC Gamer,PC Games,PC Invasion,PCGamesN,PCMag,PLAY! Zine,PlaySense,Player 2,Power Unlimited,Press Start Australia,Quarter to Three,RPG Fan,RPG Site,RPGamer,Ragequit.gr,Riot Pixels,Road to VR,SECTOR.sk,Screen Rant,Shacknews,Shindig,Siliconera,Slant Magazine,Softpedia,SpazioGames,Stevivor,Telegraph,The Digital Fix,The Games Machine,The Indie Game Website,The Loadout,The Mako Reactor,The Overpowered Noobs,TheGamer,TheSixthAxis,TierraGamer,TrueGaming,Trusted Reviews,Twinfinite,UploadVR,VG247,VGC,Vandal,Vgames,Washington Post,Wccftech,We Got This Covered,WellPlayed,Windows Central,Worth Playing,XGN,ZTGD,null_404,parsed_name
The Legend of Tianding,77.0,80,8.4,/game/pc/the-legend-of-tianding/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,79.0,,,,,83.0,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,70.0,,,,,,,80.0,,,,,,,,,,,,,,,89.0,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,TheLegendofTianding
Dandy Ace,78.0,80,8.5,/game/pc/dandy-ace/critic-reviews,,,,,,,,,,,,80.0,,,,,,,,80.0,,70.0,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,80.0,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,90.0,,,90.0,,,,,,,,,,,,,,,,70.0,80.0,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,DandyAce
Diablo II: Resurrected,79.0,80,3.0,/game/pc/diablo-ii-resurrected/critic-reviews,,,,,,85.0,70.0,90.0,,,,80.0,95.0,83.0,,60.0,,,90.0,,,,,70.0,,,90.0,,,,,,80.0,80.0,,,,,,75.0,,88.0,,80.0,,,,,,,,,,,,60.0,82.0,,80.0,,,,,,,85.0,,,,,,,,85.0,70.0,,,80.0,,,,,70.0,,,86.0,,,,82.0,,,,,,,90.0,,86.0,85.0,,,,,75.0,80.0,,,85.0,80.0,80.0,,80.0,,,65.0,,90.0,,,,,,92.0,80.0,,,,70.0,,,,,,70.0,,,,,,,,,,,,,80.0,,,,85.0,,,,,90.0,,75.0,,,,DiabloIIResurrected
The Artful Escape,80.0,80,6.4,/game/pc/the-artful-escape/critic-reviews,,,,,,,80.0,,,,,,70.0,,,100.0,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,80.0,,,90.0,90.0,,,,,,,,,,90.0,,90.0,,70.0,,,,,,,,,80.0,,,82.0,,,,,,,75.0,85.0,,,,,,,,75.0,,,,80.0,,,65.0,75.0,,,,,,,,,,,,,,,,,,40.0,60.0,,,80.0,,,,,,,90.0,,,,,,80.0,80.0,,,,,,85.0,,,70.0,,,100.0,,,,,TheArtfulEscape
Final Fantasy Pixel Remaster,81.0,80,5.6,/game/pc/final-fantasy-pixel-remaster/critic-reviews,,,,,,,,,,,,70.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,80.0,80.0,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,70.0,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,73.0,,,,75.0,,,,FinalFantasyPixelRemaster
Dreamscaper,82.0,80,7.8,/game/pc/dreamscaper/critic-reviews,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,70.0,,,,,76.0,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,75.0,,,,88.0,,80.0,,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,,,,,,,,,,Dreamscaper
Knockout City,83.0,80,6.4,/game/pc/knockout-city/critic-reviews,,,,,,80.0,70.0,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,75.0,,,,,,,80.0,,,,,,65.0,,,,,,,,,,,,,,,,,,,,90.0,,,,,70.0,,80.0,,,,,,90.0,,,,,,,,,,75.0,,,,,,,,,,,,,75.0,,,,90.0,,,,,,,,,,,,,,,,,,,80.0,,,,,70.0,,,,76.0,,,,,80.0,,83.0,,,,,,,75.0,,,,,,80.0,,,,,KnockoutCity
NieR Replicant ver.1.22474487139...,84.0,80,7.6,/game/pc/nier-replicant-ver122474487139/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,80.0,,,,,85.0,,,,,,,,,,82.0,,80.0,,,,,90.0,80.0,75.0,70.0,,,,,,,,,90.0,,75.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NieRReplicantver.1.22474487139...
Essays on Empathy,85.0,80,tbd,/game/pc/essays-on-empathy/critic-reviews,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,100.0,,,,,60.0,,,,,,,,,,,70.0,,70.0,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,EssaysonEmpathy
The Life and Suffering of Sir Brante,86.0,80,8.6,/game/pc/the-life-and-suffering-of-sir-brante/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,65.0,,,80.0,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,85.0,,,,68.0,,,,,,,,,,,,,75.0,80.0,,,,,,,,,,,,,,,,,,75.0,,85.0,,,,TheLifeandSufferingofSirBrante
Scarlet Nexus,87.0,79,7.7,/game/pc/scarlet-nexus/critic-reviews,,,,,,,,,,,,80.0,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,88.0,,,,78.0,,,,100.0,,,,,,70.0,74.0,,,,,,,,,,,,,,,,,90.0,,,,50.0,,,,92.0,80.0,,,,,90.0,,,,,75.0,,,,,,,,,,80.0,,80.0,,,,,78.0,,80.0,60.0,,,,,,,,,,,80.0,,,,,,,,,,,,,,80.0,,,,,,80.0,,,,80.0,,,,,,,80.0,,,,80.0,,,,ScarletNexus
LEGO Builder's Journey,88.0,79,7.1,/game/pc/lego-builders-journey/critic-reviews,,,,,,,,80.0,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,82.0,,,75.0,,,,,,,,,,70.0,80.0,,80.0,,,,79.0,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,83.0,,,,,,,80.0,,,,,,,80.0,,,,LEGOBuildersJourney
Time Loader,89.0,79,6.8,/game/pc/time-loader/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,85.0,,,,,,,,,,,,,,,,,,,,,,90.0,,,,90.0,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TimeLoader
Gloomhaven,90.0,79,7.0,/game/pc/gloomhaven/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,50.0,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,90.0,,,,,,,85.0,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,80.0,,,,87.0,,,,,,,,,,,,,70.0,90.0,,,,,,,,,,,,,,,80.0,,,,80.0,,,,,,,,,,,,,,,,,,,,Gloomhaven
TOEM,91.0,79,7.0,/game/pc/toem/critic-reviews,,90.0,,,,,,,,,,80.0,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,90.0,,,,,,75.0,,,,,,,,,70.0,,,,80.0,,,90.0,,,,,,,,,,,,83.0,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,TOEM
The Eternal Cylinder,92.0,79,8.2,/game/pc/the-eternal-cylinder/critic-reviews,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,95.0,,,,,,,,,,,,,,,,70.0,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TheEternalCylinder
Ocean's Heart,93.0,79,5.9,/game/pc/oceans-heart/critic-reviews,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,70.0,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,,70.0,,,,,,,80.0,,,85.0,,,,,,90.0,,,,,80.0,,,,,,,,,,,,,,,,,,,OceansHeart
Hell Let Loose,94.0,79,7.2,/game/pc/hell-let-loose/critic-reviews,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,75.0,,,86.0,,,,,,,,,,80.0,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,80.0,,,70.0,,,90.0,,,,83.0,,,,,,,,,,,80.0,,,,,,,,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,HellLetLoose
Shin Megami Tensei III: Nocturne HD Remaster,95.0,79,7.4,/game/pc/shin-megami-tensei-iii-nocturne-hd-remaster/critic-reviews,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,80.0,,,,,,,,,,,,,70.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,,,85.0,,,,,,,,85.0,,,,,,,,,,,75.0,,,,,,,,,,,,60.0,,,,,,70.0,80.0,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,ShinMegamiTenseiIIINocturneHDRemaster
The Vale: Shadow of the Crown,96.0,79,8.1,/game/pc/the-vale-shadow-of-the-crown/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,,,,,,,,80.0,,87.0,,,,,,,,,,,,,,,93.0,,80.0,,70.0,,,80.0,,,,,,,,,,,70.0,,,,80.0,,,,,,,,,,,,,,,,,,,,TheValeShadowoftheCrown
Final Fantasy III Pixel Remaster,97.0,79,4.9,/game/pc/final-fantasy-iii-pixel-remaster/critic-reviews,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,80.0,80.0,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,70.0,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,73.0,,,,80.0,,,,FinalFantasyIIIPixelRemaster
Crysis Remastered Trilogy,98.0,79,7.4,/game/pc/crysis-remastered-trilogy/critic-reviews,,,,,,,,,,,,,,,,70.0,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,80.0,,,80.0,,,85.0,,80.0,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,82.0,,,,,,,,,,,,,,,,,,,,,75.0,,,,CrysisRemasteredTrilogy
Golf Club: Wasteland,99.0,79,6.2,/game/pc/golf-club-wasteland/critic-reviews,,,,,,,,,,,,70.0,85.0,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,72.0,,,,,,,80.0,,,,,,,,,,,,,85.0,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,85.0,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,GolfClubWasteland
Road 96,100.0,79,7.0,/game/pc/road-96/critic-reviews,,80.0,,,,,,,,,,60.0,,,,70.0,,,70.0,,,80.0,75.0,,,,,,70.0,,,70.0,80.0,75.0,,,,,,,,,,,,,,,,,60.0,,70.0,,,,79.0,,,90.0,,70.0,90.0,,,,,80.0,80.0,,,,,,,90.0,,90.0,,,,,80.0,,80.0,80.0,,,90.0,82.0,,,75.0,83.0,,,,,86.0,,,,,,,70.0,100.0,,80.0,,70.0,,,,,,100.0,,,,82.0,,,,77.0,,,,,,,,,77.0,,,,83.0,70.0,,,,80.0,,,,,80.0,,,,80.0,,,,,,,90.0,,,,Road96
Wolfstride,101.0,79,tbd,/game/pc/wolfstride/critic-reviews,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,90.0,,,70.0,,,,,,,,,,,,,,,,,,,,,95.0,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,Wolfstride
Blizzard Arcade Collection,102.0,79,4.2,/game/pc/blizzard-arcade-collection/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,90.0,,,,BlizzardArcadeCollection
Super Robot Wars 30,103.0,78,tbd,/game/pc/super-robot-wars-30/critic-reviews,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,90.0,,,,,,60.0,,,,,,,,,,,,,,,,,,,,72.0,,,75.0,,,,,,,,,,,,87.0,70.0,,,,,,,,,,,,77.0,,,,77.0,,,,,,,,,,,,,,,,,,,,,80.0,,,,SuperRobotWars30
Curse of the Dead Gods,104.0,78,7.6,/game/pc/curse-of-the-dead-gods/critic-reviews,73.0,,,,,,,,,,,85.0,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,73.0,,70.0,,,,,,,,80.0,90.0,,,,81.0,,,,,,,,,,,,,,,,,85.0,,,,,,,,,90.0,,80.0,,,80.0,,,,,,70.0,80.0,,,,,,75.0,,,,,75.0,,,,,,70.0,,,,,,,,,80.0,,,,69.0,,,,,,,,,,,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,,CurseoftheDeadGods
Axiom Verge 2,105.0,78,5.7,/game/pc/axiom-verge-2/critic-reviews,,,,,,,,,,,100.0,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,70.0,,90.0,,,,,,,,70.0,,,,,,,,,,,,,80.0,,,,87.0,70.0,,,,,,,,,,,,,,,,,,80.0,,90.0,,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,,AxiomVerge2
Grow: Song of the Evertree,106.0,78,8.4,/game/pc/grow-song-of-the-evertree/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,90.0,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,70.0,74.0,,,,,,,,,,,,,,,,,,,,70.0,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,73.0,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,GrowSongoftheEvertree
Happy Game,107.0,78,8.0,/game/pc/happy-game/critic-reviews,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,80.0,90.0,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,,,88.0,,63.0,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,90.0,,,,65.0,,HappyGame
Adios,108.0,78,6.4,/game/pc/adios/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,70.0,,,,,,,,,,,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,65.0,,,75.0,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,80.0,,,,,,,,,80.0,,,,,,,,,,,Adios
Lost in Random,109.0,78,7.2,/game/pc/lost-in-random/critic-reviews,,,,,,,,80.0,,,,90.0,,,,80.0,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,75.0,,,,,,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,80.0,,,,,,,,,,,,80.0,,60.0,78.0,,,,75.0,,,,,,,,,,,,79.0,,,,80.0,70.0,,,,,80.0,,,,83.0,,,,,70.0,,,,,,,,,75.0,,,,,,90.0,,,,,LostinRandom
Lone Echo II,110.0,78,8.4,/game/pc/lone-echo-ii/critic-reviews,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,80.0,,80.0,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,75.0,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,75.0,,,80.0,,,,,88.0,,,,92.0,,,,,,,,,,,60.0,,,,,,,,,100.0,,,,,LoneEchoII
Farming Simulator 22,111.0,78,5.7,/game/pc/farming-simulator-22/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,80.0,,,,75.0,80.0,80.0,,,90.0,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,FarmingSimulator22
Riders Republic,112.0,78,6.5,/game/pc/riders-republic/critic-reviews,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,85.0,,,,,,,90.0,,80.0,79.0,,60.0,,,,,,,84.0,,,,,,,,,,,,,,,,,,,,82.0,,,,,,,75.0,,,,,,,72.0,,,77.0,,,,80.0,,,71.0,70.0,80.0,90.0,,,,,,,,,,,,,,,,80.0,,,,,80.0,,,,88.0,,,,,,,,75.0,,,,80.0,,,,,,,,,80.0,,,,RidersRepublic
Unbound: Worlds Apart,113.0,78,7.6,/game/pc/unbound-worlds-apart/critic-reviews,,90.0,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,85.0,,,,,,80.0,80.0,,,,,,,,,,,,,63.0,,,90.0,80.0,,,,85.0,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,UnboundWorldsApart
Blue Reflection: Second Light,114.0,78,8.2,/game/pc/blue-reflection-second-light/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,70.0,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,81.0,,,,,,80.0,,BlueReflectionSecondLight
Vesper,115.0,78,6.9,/game/pc/vesper/critic-reviews,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,80.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,83.0,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,78.0,,,,87.0,,,,,,,,,,,,,,,,,,,,,,,,,Vesper
Marvel's Guardians of the Galaxy,116.0,78,8.5,/game/pc/marvels-guardians-of-the-galaxy/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,70.0,,75.0,80.0,,,,70.0,,85.0,70.0,,,,,,,,,,,89.0,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,MarvelsGuardiansoftheGalaxy
Jupiter Hell,117.0,78,7.7,/game/pc/jupiter-hell/critic-reviews,,,,,,,,,,,,75.0,,82.0,,,,,,,,80.0,,,,,,,,,,,,73.0,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,90.0,,,,,,,,,,81.0,,,,,,,,,,,,,,,,,,70.0,,,80.0,,80.0,,,,,,,,58.0,,,,90.0,,,,,,,90.0,,,,,85.0,,,,,77.0,,,,,,70.0,,,,,,,,81.0,,,,,,,,,,,JupiterHell
Solar Ash,118.0,78,6.5,/game/pc/solar-ash/critic-reviews,,,,,,,,,,,,,,,,90.0,,,,,,,,75.0,,,,,,,,,80.0,88.0,,,,80.0,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,70.0,,,,,,,,,,80.0,,,,,,,,,80.0,,,,,80.0,,85.0,70.0,70.0,80.0,,,,,,,,,,,,,,,,,80.0,,,60.0,,,,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,,SolarAsh
Humankind,119.0,78,6.9,/game/pc/humankind/critic-reviews,,,,,,,,,,,,85.0,80.0,80.0,,70.0,,,,75.0,,,,,,,,,,,,60.0,80.0,90.0,,,85.0,,,80.0,,,,,,76.0,,,,,,,90.0,,,60.0,78.0,75.0,90.0,80.0,,70.0,90.0,,,,70.0,80.0,,90.0,,,,,,80.0,,,100.0,,,,70.0,,80.0,90.0,,80.0,,,,,80.0,,,,,,,75.0,,80.0,,70.0,80.0,90.0,80.0,70.0,,71.0,80.0,75.0,80.0,,80.0,,83.0,,,,,,,,68.0,,,,,,,,85.0,78.0,,,,77.0,,,,,,90.0,78.0,,70.0,70.0,,,,80.0,,,80.0,,75.0,,95.0,,,,Humankind
GTFO,120.0,78,7.5,/game/pc/gtfo/critic-reviews,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,78.0,80.0,,,,,,,,,,,,,,,,80.0,,,,,,,,,,80.0,,,,,,,,,,,,,77.0,60.0,,,,,,,,,,,,,,,,,,,,70.0,80.0,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,GTFO
Wytchwood,121.0,78,8.0,/game/pc/wytchwood/critic-reviews,,,,,,,,,,,,,,66.0,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,75.0,75.0,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wytchwood
Hot Wheels Unleashed,122.0,78,8.2,/game/pc/hot-wheels-unleashed/critic-reviews,,,,,,,,,,,,,,,,,,,,,,70.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,,,75.0,,,65.0,,,,,,,,,,,,95.0,,75.0,,,,,,90.0,,85.0,,,,,,,,,,,70.0,,,,,,,,,,,,75.0,,,78.0,,,70.0,65.0,,,,,,,,,,,,,,,,,,,,,,77.0,,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,HotWheelsUnleashed
Roguebook,123.0,78,4.6,/game/pc/roguebook/critic-reviews,,,,,,,,,,,,85.0,,71.0,,80.0,,,50.0,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,80.0,,,,,,,,,100.0,,,,,,,,90.0,,,,80.0,,,80.0,90.0,,,70.0,,,,,,,88.0,,,,75.0,,,,,,,,,,,,80.0,60.0,,,78.0,70.0,80.0,,,,,,,,,,,,,,,,70.0,,,,,80.0,,,,,,65.0,,,,,80.0,,,,,,,,,,,,,,,,,,,Roguebook
DOOM Eternal: The Ancient Gods Part Two,124.0,78,6.1,/game/pc/doom-eternal-the-ancient-gods-part-two/critic-reviews,87.0,,,,,,,,,,,80.0,,,,,,,70.0,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,85.0,,,,,,,,,,,,,75.0,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,90.0,,75.0,,,DOOMEternalTheAncientGodsPartTwo
Fights in Tight Spaces,125.0,78,7.4,/game/pc/fights-in-tight-spaces/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,90.0,,,,,,,,,,,,,,75.0,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,80.0,,,,,,,,,,,,78.0,80.0,,,83.0,,,,,,,83.0,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,90.0,,,,,,,,83.0,,,,,,,,,,,FightsinTightSpaces
